Month,Pick,IMDb ID,Movie,Year,IMDb Score,Sebastian,Jon,Dazraf,Average,Notes,title,year,rating,plot_outline,plot,synopsis
10/2020,Jon,76786,Suspiria,1977,7.4,6.0,8.0,2.0,5.3,"""there's positive aspects about this movie that make it above a zero"" - farzad",Suspiria,1977,7.3,,,
10/2020,All,13143964,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,7.2,6.0,6.0,6.0,6.0,,Borat Subsequent Moviefilm,2020,6.6,,,
10/2020,Farzad,2321549,The Babadook,2014,6.8,8.0,8.0,8.0,8.0,ba-ba-dook-dook-dook,The Babadook,2014,6.8,,,
11/2020,Steven,117802,Swingers,1996,7.2,7.5,7.0,7.0,7.2,"""Look at all the beautiful baby girls!"" -an insight into who Vince Vaughn would become.",Swingers,1996,7.2,,,
11/2020,Jon,115678,Big Night,1996,7.3,9.0,10.0,9.5,9.5,"""bite your teeth into the ass of life"" --pascal",Big Night,1996,7.3,,,
11/2020,Farzad,5697572,Cats,2019,2.8,2.0,1.5,2.0,1.8,Jellicle.,Cats,2019,2.8,,,
11/2020,Steven,8522006,Happiest Season,2020,7.0,3.0,3.5,2.0,2.8,,Happiest Season,2020,6.6,,,
12/2020,Jon,82783,My Dinner with Andre,1981,7.8,5.0,7.0,7.5,6.5,"""technically the situation was an interesting one""",My Dinner with Andre,1981,7.7,,,
12/2020,All,1640862,Critical Film Studies,2011,9.0,10.0,9.5,9.5,9.7,,Critical Film Studies,2011,8.9,,,
12/2020,Farzad,110074,The Hudsucker Proxy,1994,7.2,6.0,7.0,8.0,7.0,Hudsucker merged with the infinite,The Hudsucker Proxy,1994,7.2,,,
12/2020,Steven,10551100,Mangrove,2020,8.1,9.0,9.0,9.0,9.0,"""P.C. Pulley...""",Mangrove,2020,8.0,,,
12/2020,All,7126948,Wonder Woman 1984,2020,5.6,3.0,3.0,0.0,2.0,,Wonder Woman 1984,2020,5.4,,,
1/2021,Jon,1182345,Moon,2009,7.9,8.0,8.5,7.0,7.8,Sam Rockwell vs Sam Rockwell,Moon,2009,7.8,,,
1/2021,Farzad,58946,The Battle of Algiers,1966,8.1,7.5,9.0,8.0,8.2,,The Battle of Algiers,1966,8.1,,,
2/2021,Steven,120780,Out of Sight,1998,7.0,7.0,6.5,7.0,6.8,"""how to sing like michael bolton""",Out of Sight,1998,7.0,,,
2/2021,Jon,11358166,Some Kind of Heaven,2020,7.3,9.0,9.0,9.0,9.0,"""do you think any of these old fucks isn't using medicare?""",Some Kind of Heaven,2020,7.2,,,
2/2021,Farzad,38777,A Night in Casablanca,1946,7.0,6.0,6.5,6.5,6.3,"""the master race""",A Night in Casablanca,1946,6.9,,,
3/2021,Steven,113277,Heat,1995,8.2,8.0,6.5,8.0,7.5,get killed for walking your doggy!,Heat,1995,8.3,,,
3/2021,Jon,1527186,Melancholia,2011,7.2,8.0,10.0,10.0,9.3,,Melancholia,2011,7.1,,,
4/2021,Farzad,99422,Dick Tracy,1990,6.1,4.0,6.0,9.0,6.3,"""tracy, for a tough guy you do a lot of pansy things""",Dick Tracy,1990,6.2,,,
4/2021,Steven,47034,Godzilla,1954,7.6,8.5,8.5,8.5,8.5,"""Godzilla was baptized in the fire of the H-bomb and survived. What could kill it now?""",Godzilla,1954,7.5,,,
4/2021,Jon,2013293,The Wind Rises,2013,7.8,8.0,9.0,8.0,8.3,"""they're not for war, they're not for making money""",The Wind Rises,2013,7.7,,,
5/2021,Farzad,118884,Contact,1997,7.4,7.0,7.0,8.0,7.3,,Contact,1997,7.5,,,
5/2021,Steven,10288566,Another Round,2020,7.8,9.0,7.5,8.0,8.2,,Another Round,2020,7.7,,,
5/2021,Jon,89881,Ran,1985,8.2,9.0,8.5,8.5,8.7,"We are your sons, yet you count on our fidelity. In my eyes, that makes you a fool. A senile old fool!",Ran,1985,8.2,,,
6/2021,Farzad,92086,Three Amigos!,1986,6.5,6.5,7.0,7.5,7.0,"""so they're the one started coronavirus""",Three Amigos!,1986,6.5,,,
7/2021,Steven,82089,Body Heat,1981,7.4,7.0,6.0,7.0,6.7,"""don't talk about the heat""",Body Heat,1981,7.4,,,
7/2021,Jon,1302559,The Sting,1973,6.7,9.5,9.5,9.5,9.5,"""i don't know enough about killin to kill him""",The String,2009,6.6,,,
7/2021,Farzad,8368406,Vivarium,2019,5.8,6.5,6.5,8.0,7.0,*SCREAMS*,Vivarium,2019,5.8,,,
8/2021,Steven,33870,The Maltese Falcon,1941,8.0,8.0,9.0,7.0,8.0,"""you think the dingus is worth a million, huh""",The Maltese Falcon,1941,8.0,,,
8/2021,Jon,113118,Friday,1995,7.3,8.0,8.5,6.0,7.5,"""the older the berry, the sweeter the fruit""",Friday,1995,7.2,,,
8/2021,Farzad,62229,Le Samourai,1967,8.1,9.0,9.5,10.0,9.5,,Le Samouraï,1967,8.0,,,
9/2021,Steven,1470023,MacGruber,2010,5.5,8.0,4.0,7.0,6.3,,MacGruber,2010,5.6,,,
9/2021,Jon,1315981,A Single Man,2009,7.5,7.5,8.5,8.5,8.2,a may-september romance,A Single Man,2009,7.5,,,
10/2021,Farzad,70666,Serpico,1973,7.7,7.0,6.5,6.0,6.5,,Serpico,1973,7.7,,,
10/2021,Farzad,1140907,Bums: Making a Mess All Over the City,2007,8.6,6.5,7.0,8.0,7.2,Agent Jack Bauer,Bums: Making a Mess All Over the City,2007,8.5,,,
10/2021,Steven,1160419,Dune,2021,8.3,8.0,9.0,7.0,8.0,Oedipal Lawrence of Arabia,Dune,2021,8.0,,,
10/2021,Jon,8772262,Midsommar,2019,7.1,6.5,7.5,7.5,7.2,,Midsommar,2019,7.1,,,
11/2021,Farzad,1704573,Bernie,2011,6.8,8.0,8.0,8.0,8.0,"""the kicker is he always wore sandals""",Bernie,2011,6.8,,,
11/2021,Steven,8893974,Passing,2021,6.6,9.0,8.0,9.5,8.8,"a sweetly scented woman in a fluttering dress of green chiffon whose mingled 
pattern of narcissuses, jonquils, and hyacinths was a reminder of pleasantly 
chill spring days",Passing,2021,6.7,,,
12/2021,Jon,113824,Whisper of the Heart,1995,7.9,7.0,9.0,6.5,7.5,origins of lofi girl,Whisper of the Heart,1995,7.9,,,
12/2021,Farzad,1226240,A Late Quartet,2012,7.1,5.0,4.0,4.0,4.3,"""in conclusion, my bad guys"" -- farzad",A Late Quartet,2012,7.1,,,
12/2021,Steven,11285280,Together Together,2021,6.5,8.5,7.5,9.5,8.5,"""i mean, he's not plowing me on the scooter""",Together Together,2021,6.4,,,
1/2022,Jon,335266,Lost in Translation,2003,7.7,6.5,4.0,1.5,4.0,,Lost in Translation,2003,7.7,,,
2/2022,Farzad,72431,Young Frankenstein,1974,8.0,7.0,7.0,7.0,7.0,"""greatest contribution since the creation of fire""",Young Frankenstein,1974,8.0,,,
2/2022,Steven,105435,Sneakers,1992,7.1,8.0,8.5,8.5,8.3,"""COOTYS RAT SEMEN""",Sneakers,1992,7.1,,,
3/2022,Jon,19130,The Man Who Laughs,1928,7.7,7.0,8.0,8.5,7.8,"""Get him Homo!""",The Man Who Laughs,1928,7.7,,,
3/2022,Farzad,93870,Robocop,1987,7.6,6.5,7.5,9.5,7.8,“I'd buy that for a dollar!”,RoboCop,1987,7.6,,,
4/2022,Steven,46911,Diabolique,1955,8.1,7.0,7.0,6.5,6.8,“Should serve these lads some mad cow”,Diabolique,1955,8.1,,,
4/2022,Jon,14039582,Drive My Car,2021,7.6,7.0,9.5,7.0,7.8,"“he has to be hot because it’s a movie, but you know the story said that he’s an average looking guy with no distinguishing features” -- winnie",Drive My Car,2021,7.6,,,
5/2022,Farzad,416449,300,2006,7.6,5.0,4.0,3.0,4.0,"“Damn, look at these oiled men”",300,2006,7.6,,,
6/2022,Steven,7984734,The Lighthouse,2019,7.4,9.0,9.0,9.0,9.0,"""WHY'D YOU SPILL YER BEANS""",The Lighthouse,2019,7.4,,,
